ZZXP;AGR;ARC;AGRDESC;AGRDESCen;DESC;DESCen;PR1;Q1;PR2;Q2;PR3;Q3;PR4;Q4;PR5;Q5
1;A6745;LT1010CN8PBF;AD Buffer LT_ DIP/DIL, SSOP, TO220-5;AD Buffers LT_ DIP/DIL, SSOP, TO220-5;Fast Power Buff 20MHz DIP8;Fast Power Buff 20MHz DIP8;4,95;1;4,05;10;3,6;50;3,47;100;3,33;200
2;D1124;CH8010223K;Miniatur-Festinduktivitaeten Serie CH801;Fixed Inductors Series CH8010;Drossel 22mH 55mA 10x13mm;Inductor Radial 22mH 55mA 10x13mm;4,86;50;3,64;300;3,04;1000;2,85;3000;2,66;5000
3;X6415;HFBR2521Z;BROADCOM Lichtwellenleiter-Empfänger-Mod;BROADCOM Fiber Optic Receiving Modules H;LWL-Empf.-Modul -43dBm 5Mb/s;Fiber Optic Rec. Module -43dBm 5Mb/s;8,59;1;6,44;5;5,37;20;5,14;50;4,92;100
4;V5476;SMBJ9.0A;TSC SMD-Überspannungsschutzdioden 600W S;TSC SMD Transient Voltage Suppressor Dio;SMD-TVS-Diode unip 600W 9,0V SMB;SMD TVS Diode Unip 600W 9,0V SMB;14,14;50;8,14;200;6,14;1000;5,76;2500;5,39;5000
5;D2291;TC685360330;Speicher- / Entstoerdrosseln Serie TC;Storage/EMI Suppression Chokes Series TC;Drossel 33uH 6,1A;Inductor 33uH 6,1A;19,17;10;13,11;50;10,09;100;8,92;200;7,76;500
6;R2262;WEI11204500;WEICON Elektronik-Sprays: Reiniger;WEICON Electronic Sprays: Cleaner;Plastic Cleaner 500 ml;Plastic Cleaner 500 ml;10,35;1;7,76;6;6,47;12;5,82;24;5,17;60
7;R2262;WEI11206500;WEICON Elektronik-Sprays: Reiniger;WEICON Electronic Sprays: Cleaner;Etikettenentferner 500 ml;Label Remover 500 ml;15,71;1;11,78;6;9,82;12;8,83;24;7,85;60
8;R2262;WEI11208200;WEICON Elektronik-Sprays: Reiniger;WEICON Electronic Sprays: Cleaner;Bildschirmreiniger 200 ml;Screen Cleaner 200 ml;9,35;1;7,01;6;5,84;12;5,26;24;4,67;60
9;R2262;WEI11209400;WEICON Elektronik-Sprays: Reiniger;WEICON Electronic Sprays: Cleaner;Schaumreiniger 400 ml;Foam Cleaner 400 ml;12,78;1;9,59;6;7,99;12;7,19;24;6,39;60
10;Y4751;LPC1111FHN33/101;NXP 32Bit-Flash-Microcontroller ARM-Cort;NXP 32Bit Flash Microcontrollers ARM-Cor;MC 32bit 1,8V 8kB Flash 50MHz HVQFN32;MC 32bit 1,8V 8kB Flash 50MHz HVQFN32;2,47;5;2,09;25;1,9;100;1,83;200;1,76;500
